最新价	涨跌幅	转债代码	转债名称	总市值	纯债价值	最新价/正股价格	涨跌幅	正股代码	正股名称	转股价值	转股溢价率	纯债溢价率	回售触发价	强赎触发价	到期赎回价	开始转股日	申购日期
-	-	118000	嘉元转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20210223
111.417	-9.41	128137	洁美转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201104
120.184	-0.92	127024	盈峰转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201104
113.437	-6.25	128136	立讯转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201103
-	-	113041	紫金转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201103
92.139	-9.45	123075	贝斯转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201102
-	-	113607	伟20转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201102
-	-	110076	华海转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201102
-	-	113606	荣泰转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201030
119.166	-2.71	123074	隆利转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201029
102.523	-6.75	123073	同和转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201026
103.766	-9.33	127023	华菱转2	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201023
-	-	113605	大参转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201022
-	-	113040	星宇转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201022
106.581	-5.91	123072	乐歌转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201021
91.248	-5.27	123071	天能转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201021
114.96	-8.97	128135	洽洽转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201020
103.406	-8.81	123070	鹏辉转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201020
158.306	-7.78	127022	恒逸转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201016
91.424	-8.67	123069	金诺转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201016
93.288	-6.05	123068	弘信转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201015
-	-	110075	南航转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201015
-	-	113604	多伦转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201013
123.385	-7.97	128134	鸿路转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20201009
-	-	113603	东缆转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20200924
100.279	-4.18	128133	奇正转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20200922
97.15	-5.03	123067	斯莱转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20200917
126.678	-2.48	123066	赛意转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20200916
83.836	-6.45	128132	交建转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20200915
90.22	-8.28	128131	崇达转2	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20200907
91.625	-7.17	123065	宝莱转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20200904
106.015	-8.42	123064	万孚转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20200901
108.317	-9.36	128130	景兴转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20200831
96.025	-5.96	128129	青农转债	-	-	-	-	-	-	-	0.0	0.0	-	-	-	-	20200825
-	-	113602	景20转债	-	90.5443	-	-	603228	景旺电子	106.3209	-1.24	15.97	24.7	45.86	108.0	20210301	20200824
-	-	113039	嘉泽转债	-	90.3533	-	-	601619	嘉泽新能	86.2745	13.3	8.19	2.5	4.64	108.0	20210301	20200824
-	-	113601	塞力转债	-	97.0077	-	-	603716	塞力医疗	92.3439	1.62	-3.27	11.89	22.07	115.0	20210301	20200821
105.875	-7.13	128128	齐翔转2	-	92.1607	9.66	-1.73	002408	齐翔腾达	117.5182	-9.91	14.88	5.75	10.69	110.0	20210226	20200820
84.433	-7.09	128127	文科转债	-	97.0182	4.45	-2.2	002775	文科园林	77.2569	9.29	-12.97	4.03	6.98	115.0	20210301	20200820
