最新价	涨跌幅	转债代码	转债名称	总市值	纯债价值	最新价/正股价格	涨跌幅	正股代码	正股名称	转股价值	转股溢价率	纯债溢价率	回售触发价	强赎触发价	到期赎回价	开始转股日	申购日期
-	-	123098	一品转债	-	99.153	45.19	-1.18	300723	一品红	98.7112	1.31	0.85	32.05	59.51	118.0	20210803	20210128
125.97	2.0	128136	立讯转债	-	90.1815	53.8	1.18	002475	立讯精密	92.0602	36.83	39.68	40.91	75.97	108.0	20210510	20201103
173.28	2.95	113041	紫金转债	-	90.4771	10.8	3.45	601899	紫金矿业	154.0656	12.47	91.52	4.91	9.11	106.0	20210510	20201103
98.1	-0.91	123075	贝斯转债	-	93.2729	19.03	-1.09	300580	贝斯特	79.3247	23.67	5.18	16.79	31.19	110.0	20210506	20201102
110.0	0.68	113607	伟20转债	-	92.9135	17.34	-2.14	603568	伟明环保	78.7824	39.63	18.39	15.41	28.61	110.0	20210506	20201102
112.85	2.0	110076	华海转债	-	92.9135	27.21	5.75	600521	华海药业	78.5055	43.75	21.46	24.26	45.06	110.0	20210506	20201102
99.58	-0.57	113606	荣泰转债	-	97.9355	26.94	-0.96	603579	荣泰健康	80.8523	23.16	1.68	23.32	43.32	115.0	20210505	20201030
130.798	0.94	123074	隆利转债	-	100.1671	41.15	0.22	300752	隆利科技	139.9184	-6.52	30.58	20.59	38.23	118.0	20210504	20201029
102.0	-1.26	123073	同和转债	-	98.9758	23.3	-2.35	300636	同和药业	97.8992	4.19	3.06	16.66	30.94	116.0	20210503	20201026
105.394	-0.52	127023	华菱转2	-	88.9114	4.94	-0.4	000932	华菱钢铁	95.3668	10.51	18.54	3.63	6.48	106.0	20210429	20201023
133.8	-0.89	113605	大参转债	-	93.1222	98.48	-0.63	603233	大参林	117.4478	13.92	43.68	58.7	109.01	110.0	20210428	20201022
147.54	0.69	113040	星宇转债	-	90.0006	212.42	0.35	601799	星宇股份	134.443	9.74	63.93	110.6	205.4	108.0	20210428	20201022
124.818	3.84	123072	乐歌转债	-	105.026	37.6	2.31	300729	乐歌股份	51.4153	142.76	18.84	51.19	95.07	120.0	20210427	20201021
94.89	0.2	123071	天能转债	-	97.9288	13.46	-0.44	300569	天能重工	67.1322	41.35	-3.1	14.04	26.07	115.0	20210427	20201021
135.33	3.07	128135	洽洽转债	-	97.1684	67.46	10.0	002557	洽洽食品	110.8992	22.03	39.27	42.58	79.08	115.0	20210426	20201020
113.199	1.34	123070	鹏辉转债	-	93.0485	20.74	3.8	300438	鹏辉能源	102.877	10.03	21.66	14.11	26.21	110.0	20210426	20201020
143.9	-1.63	127022	恒逸转债	-	87.9936	14.61	3.18	000703	恒逸石化	127.0435	13.27	63.53	8.05	14.95	105.0	20210422	20201016
93.904	-0.1	123069	金诺转债	-	101.9234	15.83	-0.57	300505	川金诺	82.6632	13.6	-7.87	13.41	24.9	120.0	20210422	20201016
98.09	-0.92	123068	弘信转债	-	98.0963	15.8	1.61	300657	弘信电子	85.6369	14.54	-0.01	12.92	23.99	115.0	20210421	20201015
122.17	-1.56	110075	南航转债	-	88.8627	5.78	-1.87	600029	南方航空	92.6282	31.89	37.48	4.37	8.11	106.5	20210421	20201015
96.59	3.8	113604	多伦转债	-	94.9251	7.46	1.5	603528	多伦科技	71.4559	35.17	1.75	7.31	13.57	110.0	20210419	20201013
134.0	3.36	128134	鸿路转债	-	93.1629	52.15	6.17	002541	鸿路钢构	119.2273	12.39	43.83	30.62	56.86	110.0	20210415	20201009
128.0	-2.93	113603	东缆转债	-	93.3191	26.16	-3.65	603606	东方电缆	109.5477	16.84	37.16	16.72	31.04	110.0	20210330	20200924
104.062	-0.01	128133	奇正转债	-	95.1479	26.61	-1.04	002287	奇正藏药	88.3466	17.79	9.37	21.08	39.16	112.0	20210329	20200922
107.761	3.11	123067	斯莱转债	-	98.4033	9.53	5.89	300382	斯莱克	101.5991	6.06	9.51	6.57	11.26	115.0	20210323	20200917
125.658	-0.59	123066	赛意转债	-	98.582	28.2	-0.42	300687	赛意信息	124.8893	0.62	27.47	15.81	29.35	115.0	20210322	20200916
90.346	-0.72	128132	交建转债	-	95.2223	10.04	0.2	002941	新疆交建	54.0657	67.1	-5.12	13.0	24.14	110.0	20210322	20200915
99.58	-0.4	128131	崇达转2	-	93.5911	12.53	0.08	002815	崇达技术	64.1249	55.29	6.4	13.68	25.4	110.0	20210311	20200907
99.59	0.6	123065	宝莱转债	-	98.7139	25.16	-3.12	300246	宝莱特	62.0622	60.47	0.89	28.38	52.7	115.0	20210311	20200904
121.021	-0.72	123064	万孚转债	-	93.5586	88.19	0.35	300482	万孚生物	94.2704	28.38	29.35	65.49	121.62	110.0	20210308	20200901
112.489	-0.19	128130	景兴转债	-	93.569	3.88	-0.77	002067	景兴纸业	114.1176	-1.43	20.22	2.72	4.42	110.0	20210304	20200831
102.501	-1.89	128129	青农转债	-	91.2032	4.52	-0.66	002958	青农商行	78.7456	30.17	12.39	-	7.46	108.0	20210301	20200825
108.72	0.19	113602	景20转债	-	92.2149	26.29	-0.64	603228	景旺电子	74.5181	45.9	17.9	24.7	45.86	108.0	20210301	20200824
96.68	-2.19	113039	嘉泽转债	-	92.0215	3.36	-7.44	601619	嘉泽新能	94.1176	2.72	5.06	2.5	4.64	108.0	20210301	20200824
94.74	-1.15	113601	塞力转债	-	98.7977	14.97	-1.64	603716	塞力医疗	88.1625	7.46	-4.11	11.89	22.07	115.0	20210301	20200821
96.59	-9.75	128128	齐翔转2	-	93.863	8.11	-9.69	002408	齐翔腾达	98.6618	-2.1	2.91	5.75	10.69	110.0	20210226	20200820
88.0	-0.1	128127	文科转债	-	98.8086	4.27	0.23	002775	文科园林	79.5158	10.67	-10.94	3.76	6.98	115.0	20210301	20200820
91.17	-1.9	110074	精达转债	-	95.5088	2.81	2.18	600577	精达股份	74.9333	21.67	-4.54	2.63	4.88	112.0	20210225	20200819
70.64	-0.63	110072	广汇转债	-	93.1448	2.43	-0.41	600297	广汇汽车	60.2978	17.15	-24.16	2.82	5.24	110.0	20210224	20200818
85.79	-0.71	113600	新星转债	-	102.6528	16.2	4.05	603978	深圳新星	67.9245	26.3	-16.43	16.7	31.01	120.0	20210219	20200813
94.743	-0.25	127021	特发转2	-	95.8718	7.36	-0.27	000070	特发信息	59.6918	58.72	-1.18	8.63	16.03	110.0	20210213	20200807
214.996	7.98	128126	赣锋转2	-	90.5175	130.73	8.5	002460	赣锋锂业	216.9073	-0.88	137.52	42.19	78.35	107.0	20210218	20200806
96.5	-0.4	113599	嘉友转债	-	102.744	19.78	1.28	603871	嘉友国际	79.6938	21.09	-6.08	17.37	32.27	120.0	20210218	20200805
122.83	-0.62	113598	法兰转债	-	98.9297	16.3	-0.79	603966	法兰泰克	117.4352	4.59	24.16	9.72	18.04	115.0	20210208	20200731
205.19	2.43	113038	隆20转债	-	91.1762	109.01	1.95	601012	隆基股份	207.2828	-1.01	125.05	36.81	68.37	107.0	20210208	20200731
105.0	1.01	128125	华阳转债	-	96.7026	19.8	0.0	002949	华阳国际	76.7739	36.77	8.58	18.05	33.53	113.0	20210205	20200730
91.38	0.2	113597	佳力转债	-	101.6454	12.83	-0.16	603912	佳力图	54.8291	66.66	-10.1	16.38	30.42	118.0	20210205	20200730
99.124	-1.17	128124	科华转债	-	89.9715	15.74	-1.56	002022	科华生物	73.1753	35.46	10.17	15.06	27.96	106.0	20210203	20200728
102.644	-0.44	123063	大禹转债	-	103.2829	4.79	0.21	300021	大禹节水	96.9636	5.86	-0.62	3.46	6.42	120.0	20210203	20200728
84.93	-0.56	113596	城地转债	-	92.6608	15.43	1.18	603887	城地香江	52.8244	60.78	-8.34	20.45	37.97	108.0	20210204	20200728
101.45	0.63	128123	国光转债	-	94.9131	10.02	0.7	002749	国光股份	73.1387	38.71	6.89	9.59	17.81	110.0	20210201	20200727
104.5	2.08	123062	三超转债	-	97.7917	16.48	1.92	300554	三超新材	95.9814	8.88	6.86	12.02	22.32	113.0	20210201	20200727
106.2	-1.4	110073	国投转债	-	90.0944	12.98	-0.08	600061	国投资本	85.1148	24.77	17.88	-	19.83	107.0	20210201	20200724
97.802	-0.41	128122	兴森转债	-	96.0243	9.32	0.98	002436	兴森科技	65.7264	48.8	1.85	8.51	18.43	110.0	20210129	20200723
101.78	-1.47	113037	紫银转债	-	94.5892	3.78	-1.56	601860	紫金银行	79.5789	27.9	7.6	-	6.18	110.0	20210129	20200723
101.601	0.79	123061	航新转债	-	102.0146	12.58	-2.4	300424	航新科技	84.6568	20.02	-0.41	10.4	19.32	118.0	20210128	20200722
120.234	-1.04	123060	苏试转债	-	96.0813	24.36	1.2	300416	苏试试验	102.0956	17.77	25.14	16.7	31.02	112.0	20210127	20200721
85.93	0.13	113595	花王转债	-	102.3911	5.12	6.22	603007	花王股份	73.8817	16.31	-16.08	4.85	9.01	116.0	20210127	20200721
97.5	-1.88	113594	淳中转债	-	99.2369	29.96	0.37	603516	淳中科技	76.0986	28.12	-1.75	27.56	51.18	115.0	20210127	20200721
108.0	-0.92	127020	中金转债	-	92.7508	4.21	-1.64	000060	中金岭南	89.3843	20.83	16.44	3.3	6.12	110.0	20210125	20200720
114.54	-2.87	113593	沪工转债	-	99.3994	21.25	-2.43	603131	上海沪工	99.6717	14.92	15.23	14.92	27.72	115.0	20210125	20200720
