基金代码,基金简称,日期,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立以来,手续费
004557,北信瑞丰鼎丰灵活配置混合,2020-12-31,1.3256,1.3256,4.59,10.13,21.78,23.74,19.26,29.39,,,29.39,32.56,0.15%
000535,长盛航天海工装备灵活配置混合,2020-12-31,1.6690,2.1840,4.57,9.08,18.71,19.64,67.40,74.58,102.30,58.05,74.58,156.3141,0.15%
050009,博时新兴成长混合,2020-12-31,1.3150,5.5040,4.20,8.86,23.01,24.41,29.30,76.27,184.02,96.56,76.27,56.8655,0.15%
001838,国投瑞银国家安全混合,2020-12-31,1.3260,1.3260,4.99,8.78,20.22,23.35,75.86,92.17,131.01,70.66,92.17,32.60,0.15%
003834,华夏能源革新股票,2020-12-31,2.7030,2.7030,3.05,8.77,35.76,63.62,87.32,120.65,232.06,148.21,120.65,170.30,0.15%
001986,前海开源人工智能主题混合,2020-12-31,2.1980,2.1980,3.53,8.70,15.93,17.79,27.13,74.17,154.69,66.39,74.17,119.80,0.15%
004224,南方军工改革灵活配置混合,2020-12-31,1.4478,1.4478,4.84,8.30,17.32,23.01,59.24,91.94,149.79,72.56,91.94,44.78,0.15%
010364,鹏华空天军工指数(LOF)C,2020-12-31,1.2649,1.2649,4.36,8.30,17.41,,,,,,,26.49,0.00%
160643,鹏华空天军工指数(LOF)A,2020-12-31,1.5760,1.5760,4.36,8.29,17.41,25.06,65.93,89.79,134.14,69.81,89.79,57.5842,0.12%
002251,华夏军工安全混合,2020-12-31,1.7510,1.7510,4.35,8.02,23.14,25.34,71.50,89.71,137.91,85.29,89.71,75.10,0.15%
005774,华夏产业升级混合,2020-12-31,2.0818,2.0818,4.72,8.01,21.55,25.27,42.81,72.41,115.37,,72.41,108.18,0.15%
002703,长城久源灵活配置混合,2020-12-31,1.7254,1.7254,4.33,7.97,22.03,21.78,39.66,45.53,64.18,71,45.53,72.54,0.15%
007355,汇添富科技创新混合A,2020-12-31,2.1314,2.1314,2.94,7.97,13.05,22.48,31.80,72.61,,,72.61,113.14,0.15%
002419,汇添富盈安灵活配置混合,2020-12-31,1.9520,1.9730,2.85,7.96,13.16,19.83,30.39,59.22,85.20,84.67,59.22,99.1003,0.12%
007356,汇添富科技创新混合C,2020-12-31,2.1026,2.1026,2.94,7.96,12.98,22.24,31.26,71.25,,,71.25,110.26,0.00%
000690,前海开源大海洋混合,2020-12-31,2.11,2.11,4.56,7.93,19.28,23.68,81.74,73.09,170.86,125.19,73.09,111,0.15%
168501,北信瑞丰产业升级,2020-12-31,2.4486,2.4486,3.79,7.92,19.89,23.99,59.16,106.01,203.46,142.08,106.01,144.86,0.15%
519005,海富通股票混合,2020-12-31,1.1920,3.1410,4.84,7.87,22.26,16.86,4.56,24.56,126.19,74.27,24.56,412.2828,0.15%
040011,华安核心优选混合,2020-12-31,2.6194,4.1494,2.69,7.82,10.01,25.72,62.59,75.16,148.74,122.55,75.16,593.0827,0.15%
004263,华安沪港深机会灵活配置混合,2020-12-31,2.4280,2.64,2.53,7.82,11.89,26.13,41.74,55.44,131.89,118.08,55.44,181.9763,0.15%
002604,华夏新起点混合A,2020-12-31,1.8850,1.8850,3.17,7.78,14.94,13.90,26.85,55.91,110.61,69.06,55.91,88.50,0.15%
008084,海富通先进制造股票C,2020-12-31,1.1920,1.1920,5.19,7.70,23.55,18.90,12.68,19.27,,,19.27,19.20,0.00%
008085,海富通先进制造股票A,2020-12-31,1.1969,1.1969,5.18,7.70,23.58,19.02,12.90,19.75,,,19.75,19.69,0.15%
519908,华夏兴华混合A,2020-12-31,3.0940,7.59,2.89,7.69,22.49,31.72,43.31,71.41,128.68,63.96,71.41,209.40,0.15%
005450,华夏稳盛灵活配置混合,2020-12-31,2.2214,2.2214,2.59,7.65,19.39,31.09,50.28,87.24,180.30,,87.24,122.14,0.15%
001809,中信建投智信物联网A,2020-12-31,2.0794,2.0794,3.98,7.65,17.73,19.45,20.11,54.97,165.60,85.02,54.97,107.94,0.15%
004636,中信建投智信物联网C,2020-12-31,2.1502,2.1502,3.97,7.64,17.68,19.32,19.87,54.35,163.57,79.17,54.35,115.02,0.00%
160516,博时中证全指证券公司指数(LOF),2020-12-31,1.3903,0.9623,4.28,7.62,0.78,2.61,22.62,14.38,62.66,23.26,14.38,-3.7685,0.10%
004671,中融核心成长,2020-12-31,1.5427,1.5427,3.80,7.62,28.32,36.67,39.89,72.93,160.72,60.15,72.93,54.27,0.15%
580009,东吴多策略灵活配置混合,2020-12-31,1.8666,2.6296,4.04,7.62,22.68,21.24,30.04,57.80,130.59,85.57,57.80,247.2327,0.15%
008590,天弘中证全指证券公司A,2020-12-31,1.2865,1.2865,4.30,7.62,0.63,2.36,23.82,22.35,,,22.35,28.65,0.10%
002289,华商改革创新股票,2020-12-31,1.9529,1.9529,2.91,7.61,6.68,14.39,16.20,46.52,130.40,,46.52,95.29,0.15%
